id,updated_at,created_at,name,company_name,emails,telephones,currency,billing_address,shipping_address,is_active,is_customer,is_supplier
1,2023-12-18T21:39:32.000Z,2023-12-12T00:48:43.000Z,Amy Lauterbach,Amy's Bird Sanctuary,[{'email': 'Birds@Intuit.com'}],"[{'telephone': '(650) 555-3311', 'type': 'WORK'}]",USD,"{'address1': '4581 Finch St.', 'city': 'Bayshore', 'region_code': 'CA', 'postal_code': '94326', 'region': 'California'}","{'address1': '4581 Finch St.', 'city': 'Bayshore', 'region_code': 'CA', 'postal_code': '94326', 'region': 'California'}",True,True,False
2,2023-12-18T20:56:01.000Z,2023-12-12T00:49:28.000Z,Bill Lucchini,Bill's Windsurf Shop,[{'email': 'Surf@Intuit.com'}],"[{'telephone': '(415) 444-6538', 'type': 'WORK'}]",USD,"{'address1': '12 Ocean Dr.', 'city': 'Half Moon Bay', 'region_code': 'CA', 'postal_code': '94213', 'region': 'California'}",,True,True,False
3,2023-12-19T20:59:21.000Z,2023-12-12T00:51:22.000Z,Grace Pariente,Cool Cars,[{'email': 'Cool_Cars@intuit.com'}],"[{'telephone': '(415) 555-9933', 'type': 'WORK'}]",USD,"{'address1': '65 Ocean Dr.', 'city': 'Half Moon Bay', 'region_code': 'CA', 'postal_code': '94213', 'region': 'California'}",,True,True,False
4,2023-12-12T00:52:08.000Z,2023-12-12T00:52:08.000Z,Diego Rodriguez,,[{'email': 'Diego@Rodriguez.com'}],"[{'telephone': '(650) 555-4477', 'type': 'WORK'}]",USD,"{'address1': '321 Channing', 'city': 'Palo Alto', 'region_code': 'CA', 'postal_code': '94303', 'region': 'California'}",,True,True,False
5,2023-12-18T21:28:29.000Z,2023-12-12T00:54:59.000Z,Peter Dukes,Dukes Basketball Camp,[{'email': 'Dukes_bball@intuit.com'}],"[{'telephone': '(520) 420-5638', 'type': 'WORK'}]",USD,"{'address1': '25 Court St.', 'city': 'Tucson', 'region_code': 'AZ', 'postal_code': '85719', 'region': 'Arizona'}","{'address1': '25 Court St.', 'city': 'Tucson', 'region_code': 'AZ', 'postal_code': '85719', 'region': 'Arizona'}",True,True,False
6,2023-12-12T00:55:21.000Z,2023-12-12T00:55:21.000Z,Dylan Sollfrank,,[],[],USD,,,True,True,False
7,2023-12-19T21:15:36.000Z,2023-12-12T00:57:10.000Z,Kirby Freeman,Freeman Sporting Goods,[{'email': 'Sporting_goods@intuit.com'}],"[{'telephone': '(650) 555-0987', 'type': 'WORK'}, {'telephone': '(973) 555-8849', 'type': 'MOBILE'}]",USD,"{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}","{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}",True,True,False
8,2023-12-19T21:15:36.000Z,2023-12-12T01:00:01.000Z,Sasha Tillou,Freeman Sporting Goods,[{'email': 'Sporting_goods@intuit.com'}],"[{'telephone': '(415) 555-9933', 'type': 'WORK'}, {'telephone': '(973) 555-8849', 'type': 'MOBILE'}]",USD,"{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}","{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}",True,True,False
9,2023-12-18T21:23:52.000Z,2023-12-12T01:01:00.000Z,Amelia,Freeman Sporting Goods,[{'email': 'Sporting_goods@intuit.com'}],"[{'telephone': '(650) 555-0987', 'type': 'WORK'}, {'telephone': '(973) 555-8849', 'type': 'MOBILE'}]",USD,"{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}","{'address1': '370 Easy St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94482', 'region': 'California'}",True,True,False
10,2023-12-18T21:41:59.000Z,2023-12-12T01:02:22.000Z,Geeta Kalapatapu,,[{'email': 'Geeta@Kalapatapu.com'}],"[{'telephone': '(650) 555-0022', 'type': 'WORK'}]",USD,"{'address1': '1987 Main St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94303', 'region': 'California'}","{'address1': '1987 Main St.', 'city': 'Middlefield', 'region_code': 'CA', 'postal_code': '94303', 'region': 'California'}",True,True,False
